iter	Logloss
0	0.6869522599
1	0.6809573843
2	0.6757505433
3	0.6693491029
4	0.6639099121
5	0.6593494258
6	0.6539346994
7	0.6490703614
8	0.6435964915
9	0.6387447641
10	0.6343292362
11	0.6297119393
12	0.6257556253
13	0.6209726255
14	0.6162279618
15	0.6115718873
16	0.6072866266
17	0.6038165132
18	0.5998305644
19	0.5958398236
20	0.5920692633
21	0.5881110578
22	0.5845361505
23	0.5809470563
24	0.5774233479
25	0.5747134626
26	0.5712773347
27	0.5680595587
28	0.5646159275
29	0.562027482
30	0.5585883275
31	0.5560431362
32	0.5530464866
33	0.550090443
34	0.5471536936
35	0.5440516827
36	0.5413737652
37	0.538653287
38	0.5354262423
39	0.532786724
40	0.5298584237
41	0.5275287471
42	0.5251422598
43	0.5226019237
44	0.519897587
45	0.5179862661
46	0.5153017281
47	0.5129764651
48	0.5111629076
49	0.5095310369
50	0.5074356962
51	0.5052642192
52	0.5033829744
53	0.5013937201
54	0.4992413166
55	0.497189041
56	0.4954520612
57	0.4935777838
58	0.491765109
59	0.4898369844
60	0.4880542597
61	0.4863694561
62	0.4841873232
63	0.4820205436
64	0.4801497026
65	0.478350994
66	0.4763478681
67	0.474539544
68	0.4730033244
69	0.4710654897
70	0.4698100445
71	0.4684092624
72	0.4666112474
73	0.4650493653
74	0.4636624864
75	0.4620619845
76	0.4609104503
77	0.4595744866
78	0.4582833534
79	0.4570519944
80	0.4556657145
81	0.4544652513
82	0.4533435412
83	0.4517904865
84	0.450408242
85	0.4493387711
86	0.4480160169
87	0.44675909
88	0.4455431473
89	0.4445163317
90	0.443403512
91	0.4417759604
92	0.4406181525
93	0.4393541636
94	0.4385121558
95	0.4371695716
96	0.4363429487
97	0.4353849868
98	0.4344454048
99	0.4332484726
100	0.432318317
101	0.4315662857
102	0.4309248806
103	0.4295160593
104	0.4285482612
105	0.427606693
106	0.4266830318
107	0.4257264571
108	0.4249061395
109	0.4241428848
110	0.4231278601
111	0.4220037854
112	0.4206835534
113	0.419809168
114	0.4189005135
115	0.4178680231
116	0.4170865461
117	0.4162754658
118	0.415479928
119	0.4146150321
120	0.4137342469
121	0.4126473419
122	0.4115081661
123	0.4107049674
124	0.4098694857
125	0.409033531
126	0.4083186378
127	0.4076174271
128	0.4067732125
129	0.4061841098
130	0.4053723674
131	0.4044341095
132	0.4034602583
133	0.4026520154
134	0.4015007334
135	0.4006497722
136	0.4000185186
137	0.3990361868
138	0.3986493891
139	0.3978734923
140	0.3970584712
141	0.3965395462
142	0.3955091051
143	0.3945440182
144	0.393833318
145	0.3932636986
146	0.3923402266
147	0.3918055069
148	0.3911281932
149	0.390336281
150	0.3897476196
151	0.3886189737
152	0.3882821138
153	0.3877118323
154	0.387063523
155	0.3864088768
156	0.3858331728
157	0.3853832907
158	0.384759635
159	0.3844492889
160	0.3836819357
161	0.3830834381
162	0.3826583673
163	0.3822385299
164	0.38171847
165	0.3811287052
166	0.3806859797
167	0.3800877343
168	0.3791724591
169	0.3785778708
170	0.3778894913
171	0.3770612291
172	0.376622602
173	0.3757727757
174	0.3751284702
175	0.3745622241
176	0.3739801202
177	0.3733461238
178	0.3727474055
179	0.372194432
180	0.3712791254
181	0.3706664409
182	0.3698986148
183	0.3694366581
184	0.3687956629
185	0.3681700525
186	0.3677349248
187	0.3670388214
188	0.366151857
189	0.3655323628
190	0.3650735272
191	0.3647259799
192	0.3643725372
193	0.3640707662
194	0.3637146437
195	0.3632194582
196	0.3627788134
197	0.3621759021
198	0.3614222629
199	0.360869983
200	0.3600423829
201	0.3593905741
202	0.3584074541
203	0.3577853116
204	0.3573914835
205	0.3569288648
206	0.35647211
207	0.355843946
208	0.355447312
209	0.3552293383
210	0.3545059961
211	0.3537019462
212	0.3530623066
213	0.3524248738
214	0.3518063254
215	0.3514232793
216	0.3506471933
217	0.3500510602
218	0.3496221747
219	0.3487507213
220	0.3480516544
221	0.3475653278
222	0.3470759116
223	0.3467849542
224	0.3462003598
225	0.3456164904
226	0.3449898081
227	0.344467636
228	0.343882411
229	0.3434836332
230	0.3430373767
231	0.3425363273
232	0.3420198299
233	0.3416083785
234	0.3413193127
235	0.3406850011
236	0.3402770492
237	0.3396887346
238	0.3393558155
239	0.3390423483
240	0.338732948
241	0.3382679648
242	0.3378045579
243	0.3372538543
244	0.3367586057
245	0.3362106134
246	0.3358069491
247	0.3356108863
248	0.3351174977
249	0.334610742
250	0.3340107311
251	0.3335563092
252	0.3328557921
253	0.3324752682
254	0.3320296737
255	0.3317368247
256	0.3313602416
257	0.3310533634
258	0.3307384775
259	0.3303816299
260	0.3296238608
261	0.3292409723
262	0.3289573291
263	0.328525827
264	0.3279203935
265	0.3275197242
266	0.3268661499
267	0.3265117929
268	0.3261405062
269	0.3257309149
270	0.3252212272
271	0.3249710335
272	0.3244695427
273	0.3239659081
274	0.3238136985
275	0.3233552413
276	0.3229657323
277	0.3226540936
278	0.3222105799
279	0.3214131505
280	0.3209181857
281	0.3205954497
282	0.3203945002
283	0.3201480897
284	0.3198201203
285	0.3196072224
286	0.3191906322
287	0.3188168234
288	0.3184877191
289	0.3179526211
290	0.3174241121
291	0.3171951042
292	0.3167461679
293	0.3164419694
294	0.3160450833
295	0.3156549753
296	0.3153494843
297	0.315044939
298	0.3145743126
299	0.3141936625
300	0.3137864672
301	0.3131049921
302	0.3126708417
303	0.3123493667
304	0.3119300023
305	0.3116506151
306	0.3109557727
307	0.3107277736
308	0.3105228834
309	0.3100651512
310	0.3095655205
311	0.309130046
312	0.3088289686
