iter	Logloss
313	0.3087086953
314	0.3082725588
315	0.3081921664
316	0.3079355413
317	0.3075739963
318	0.3070359033
319	0.3065205724
320	0.3061825145
321	0.305831657
322	0.3055726989
323	0.3051741734
324	0.3047413471
325	0.3044282267
326	0.3041525596
327	0.3041260144
328	0.3038952725
329	0.3035829087
330	0.3031426422
331	0.3028457263
332	0.3025747252
333	0.302405113
334	0.3020435365
335	0.3017686891
336	0.3012840334
337	0.3009191781
338	0.300737649
339	0.3001429976
340	0.2998116864
341	0.2992805922
342	0.298683734
343	0.2984060808
344	0.2980421397
345	0.2975374647
346	0.2971740597
347	0.2969151647
348	0.2966036836
349	0.2961418845
350	0.2958019351
351	0.2955586457
352	0.2952859421
353	0.2949827841
354	0.29486456
355	0.2945695357
356	0.2942106389
357	0.2939210056
358	0.2935689501
359	0.2932041578
360	0.2925512456
361	0.292040486
362	0.291711823
363	0.2915146252
364	0.2911176445
365	0.2905159942
366	0.2903068164
367	0.2901000977
368	0.2898644061
369	0.2896034934
370	0.2890467368
371	0.2887358863
372	0.2886504812
373	0.2882441371
374	0.2877618143
375	0.2876459547
376	0.2872640436
377	0.2870852888
378	0.286776456
379	0.2864166764
380	0.2858802858
381	0.285281536
382	0.2851376809
383	0.2848894419
384	0.284421842
385	0.2839764051
386	0.2835773121
387	0.2832837381
388	0.2830261672
389	0.282815949
390	0.2825190016
391	0.2821331812
392	0.2817216353
393	0.2813520195
394	0.2810549775
395	0.2809275477
396	0.2804704146
397	0.2800501358
398	0.2795756316
399	0.2793284645
400	0.2788952284
401	0.2786588432
402	0.2782951859
403	0.2781141612
404	0.2778056436
405	0.2775851794
406	0.277183848
407	0.2766819473
408	0.276461483
409	0.2761038788
410	0.2758913907
411	0.2754509035
412	0.2751103236
413	0.2747283494
414	0.2744732061
415	0.2741130482
416	0.2734996701
417	0.2730639119
418	0.2725746848
419	0.2722871008
420	0.2719972469
421	0.2715715771
422	0.2713016478
423	0.2709440752
424	0.2706031484
425	0.2703244863
426	0.2700185224
427	0.2695581736
428	0.2691628007
429	0.2689518889
430	0.2685460493
431	0.2682819839
432	0.2679508934
433	0.2678082679
434	0.2675197381
435	0.2672614105
436	0.2670549125
437	0.2668381683
438	0.266450677
439	0.2662774078
440	0.2659132146
441	0.2656770817
442	0.2653819628
443	0.265181108
444	0.2646689927
445	0.2645044878
446	0.2642519927
447	0.2640871095
448	0.2637491147
449	0.2631762166
450	0.2627574511
451	0.2623460943
452	0.261965129
453	0.2618001039
454	0.2612201911
455	0.260855194
456	0.2606270215
457	0.260175705
458	0.2598383565
459	0.2595760881
460	0.259291105
461	0.2590910541
462	0.2589181317
463	0.2585139314
464	0.2583215256
465	0.2579370924
466	0.2577145001
467	0.2575094995
468	0.2572698987
469	0.2569915519
470	0.2566549285
471	0.256240561
472	0.2558875596
473	0.2554732709
474	0.2551257551
475	0.2548521688
476	0.2543630364
477	0.2541636002
478	0.2539750564
479	0.2537134974
480	0.2534899751
481	0.2531745217
482	0.2529859149
483	0.2527718347
484	0.2525654312
485	0.2523681388
486	0.2521395407
487	0.2518456199
488	0.2516911719
489	0.2512113871
490	0.2508845053
491	0.2506988462
492	0.2501357685
493	0.2498929363
494	0.249561499
495	0.2493689986
496	0.2492797
497	0.2490130968
498	0.2487769009
499	0.2484283447
